rep,timestamp,service,slo_f,state,last_iteration_length
1,2026-05-04 17:45:09.477202,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 80.0, 'avg_p_latency': 21.333333333333332, 'data_quality': 550.0, 'cores': 8.0, 'completion_rate': 1.0}",-1
1,2026-05-04 17:45:09.480368,elastic-workbench-cv-analyzer-1,0.927525716708272,"{'throughput': 4.153846153846154, 'avg_p_latency': 232.92307692307693, 'data_quality': 224.0, 'cores': 8.0, 'model_size': 3.0, 'completion_rate': 0.8307692307692308}",-1
1,2026-05-04 17:45:09.489531,elastic-workbench-pc-visualizer-1,0.9479166666666666,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 30.0, 'cores': 8.0, 'model_size': 1.0, 'completion_rate': 1.0}",-1
1,2026-05-04 17:45:19.472464,elastic-workbench-qr-detector-1,0.69055352734375,"{'throughput': 80.0, 'avg_p_latency': 2.0, 'data_quality': 131.0, 'cores': 1.0, 'completion_rate': 1.0}",38
1,2026-05-04 17:45:19.479284,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.0, 'avg_p_latency': -1.0, 'data_quality': 306.0, 'cores': 1.0, 'model_size': 2.0, 'completion_rate': 0.0}",38
1,2026-05-04 17:45:19.485901,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 50.0, 'avg_p_latency': 5.5, 'data_quality': 57.0, 'cores': 8.0, 'model_size': 1.0, 'completion_rate': 1.0}",38
1,2026-05-04 17:45:29.473270,elastic-workbench-qr-detector-1,0.813376,"{'throughput': 80.0, 'avg_p_latency': 10.0, 'data_quality': 368.0, 'cores': 8.0, 'completion_rate': 1.0}",25
1,2026-05-04 17:45:29.476387,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.0, 'avg_p_latency': -1.0, 'data_quality': 306.0, 'cores': 1.0, 'model_size': 2.0, 'completion_rate': 0.0}",25
1,2026-05-04 17:45:29.480302,elastic-workbench-pc-visualizer-1,0.9653333333333332,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 32.0, 'cores': 2.0, 'model_size': 1.0, 'completion_rate': 1.0}",25
1,2026-05-04 17:45:39.473476,elastic-workbench-qr-detector-1,0.8476924908854166,"{'throughput': 80.0, 'avg_p_latency': 12.0, 'data_quality': 423.0, 'cores': 8.0, 'completion_rate': 1.0}",21
1,2026-05-04 17:45:39.476758,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.3076923076923077, 'avg_p_latency': 68.53846153846153, 'data_quality': 259.0, 'cores': 5.0, 'model_size': 3.0, 'completion_rate': 0.06153846153846154}",21
1,2026-05-04 17:45:39.485859,elastic-workbench-pc-visualizer-1,0.9060833333333336,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 26.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 1.0}",21
1,2026-05-04 17:45:49.473654,elastic-workbench-qr-detector-1,0.9038009166666666,"{'throughput': 80.0, 'avg_p_latency': 18.166666666666668, 'data_quality': 516.0, 'cores': 8.0, 'completion_rate': 1.0}",37
1,2026-05-04 17:45:49.476785,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.6923076923076923, 'avg_p_latency': 600.2307692307693, 'data_quality': 166.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.13846153846153847}",37
1,2026-05-04 17:45:49.479647,elastic-workbench-pc-visualizer-1,0.7721354166666666,"{'throughput': 50.0, 'avg_p_latency': 3.4166666666666665, 'data_quality': 15.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 1.0}",37
1,2026-05-04 17:45:59.474385,elastic-workbench-qr-detector-1,0.9089152018229166,"{'throughput': 80.0, 'avg_p_latency': 22.0, 'data_quality': 525.0, 'cores': 2.0, 'completion_rate': 1.0}",22
1,2026-05-04 17:45:59.479862,elastic-workbench-cv-analyzer-1,0.88007667058593,"{'throughput': 5.0, 'avg_p_latency': 103.0, 'data_quality': 232.0, 'cores': 8.0, 'model_size': 1.0, 'completion_rate': 1.0}",22
1,2026-05-04 17:45:59.493866,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 50.0, 'avg_p_latency': 6.0, 'data_quality': 54.0, 'cores': 3.0, 'model_size': 1.0, 'completion_rate': 1.0}",22
1,2026-05-04 17:46:09.475434,elastic-workbench-qr-detector-1,0.72743303125,"{'throughput': 80.0, 'avg_p_latency': 4.25, 'data_quality': 218.0, 'cores': 6.0, 'completion_rate': 1.0}",42
1,2026-05-04 17:46:09.478422,elastic-workbench-cv-analyzer-1,0.8418863406023419,"{'throughput': 5.0, 'avg_p_latency': 39.92307692307692, 'data_quality': 170.0, 'cores': 8.0, 'model_size': 1.0, 'completion_rate': 1.0}",42
1,2026-05-04 17:46:09.481328,elastic-workbench-pc-visualizer-1,0.95696875,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 31.0, 'cores': 2.0, 'model_size': 1.0, 'completion_rate': 1.0}",42
1,2026-05-04 17:46:19.476935,elastic-workbench-qr-detector-1,1.0,"{'throughput': 80.0, 'avg_p_latency': 69.41666666666667, 'data_quality': 976.0, 'cores': 8.0, 'completion_rate': 1.0}",22
1,2026-05-04 17:46:19.479795,elastic-workbench-cv-analyzer-1,0.4177033269565675,"{'throughput': 1.6153846153846154, 'avg_p_latency': 526.3846153846154, 'data_quality': 251.0, 'cores': 4.0, 'model_size': 2.0, 'completion_rate': 0.3230769230769231}",22
1,2026-05-04 17:46:19.482889,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 50.0, 'avg_p_latency': 6.0, 'data_quality': 57.0, 'cores': 8.0, 'model_size': 1.0, 'completion_rate': 1.0}",22
1,2026-05-04 17:46:29.476630,elastic-workbench-qr-detector-1,1.0,"{'throughput': 80.0, 'avg_p_latency': 48.916666666666664, 'data_quality': 837.0, 'cores': 8.0, 'completion_rate': 1.0}",23
1,2026-05-04 17:46:29.479491,elastic-workbench-cv-analyzer-1,0.8616839899821491,"{'throughput': 5.0, 'avg_p_latency': 50.23076923076923, 'data_quality': 199.0, 'cores': 7.0, 'model_size': 1.0, 'completion_rate': 1.0}",23
1,2026-05-04 17:46:29.482111,elastic-workbench-pc-visualizer-1,0.89453125,"{'throughput': 50.0, 'avg_p_latency': 4.416666666666667, 'data_quality': 25.0, 'cores': 8.0, 'model_size': 1.0, 'completion_rate': 1.0}",23
1,2026-05-04 17:46:39.477574,elastic-workbench-qr-detector-1,0.87663671875,"{'throughput': 80.0, 'avg_p_latency': 16.833333333333332, 'data_quality': 470.0, 'cores': 5.0, 'completion_rate': 1.0}",24
1,2026-05-04 17:46:39.480681,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.8461538461538461, 'avg_p_latency': 739.2307692307693, 'data_quality': 235.0, 'cores': 3.0, 'model_size': 3.0, 'completion_rate': 0.16923076923076924}",24
1,2026-05-04 17:46:39.493009,elastic-workbench-pc-visualizer-1,0.8826666666666667,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 24.0, 'cores': 8.0, 'model_size': 1.0, 'completion_rate': 1.0}",24
1,2026-05-04 17:46:49.479037,elastic-workbench-qr-detector-1,0.99888656640625,"{'throughput': 80.0, 'avg_p_latency': 46.083333333333336, 'data_quality': 773.0, 'cores': 4.0, 'completion_rate': 1.0}",28
1,2026-05-04 17:46:49.482753,elastic-workbench-cv-analyzer-1,0.3207056611497783,"{'throughput': 1.0769230769230769, 'avg_p_latency': 604.0, 'data_quality': 173.0, 'cores': 8.0, 'model_size': 4.0, 'completion_rate': 0.21538461538461537}",28
1,2026-05-04 17:46:49.492681,elastic-workbench-pc-visualizer-1,0.97975,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 34.0, 'cores': 6.0, 'model_size': 1.0, 'completion_rate': 1.0}",28
1,2026-05-04 17:46:59.479350,elastic-workbench-qr-detector-1,0.4888517237533757,"{'throughput': 25.083333333333332, 'avg_p_latency': 78.16666666666667, 'data_quality': 938.0, 'cores': 2.0, 'completion_rate': 0.31354166666666666}",34
1,2026-05-04 17:46:59.482334,elastic-workbench-cv-analyzer-1,0.3604719879238174,"{'throughput': 1.2307692307692308, 'avg_p_latency': 672.2307692307693, 'data_quality': 197.0, 'cores': 7.0, 'model_size': 4.0, 'completion_rate': 0.24615384615384617}",34
1,2026-05-04 17:46:59.496822,elastic-workbench-pc-visualizer-1,0.9975833333333334,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 38.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 1.0}",34
1,2026-05-04 17:47:09.480780,elastic-workbench-qr-detector-1,0.9586986666666668,"{'throughput': 80.0, 'avg_p_latency': 27.833333333333332, 'data_quality': 624.0, 'cores': 8.0, 'completion_rate': 1.0}",35
1,2026-05-04 17:47:09.489046,elastic-workbench-cv-analyzer-1,0.8643834184662589,"{'throughput': 4.384615384615385, 'avg_p_latency': 206.30769230769232, 'data_quality': 320.0, 'cores': 6.0, 'model_size': 1.0, 'completion_rate': 0.876923076923077}",35
1,2026-05-04 17:47:09.494126,elastic-workbench-pc-visualizer-1,0.8705520833333332,"{'throughput': 50.0, 'avg_p_latency': 4.666666666666667, 'data_quality': 23.0, 'cores': 7.0, 'model_size': 1.0, 'completion_rate': 1.0}",35
1,2026-05-04 17:47:19.480155,elastic-workbench-qr-detector-1,0.3850539158950617,"{'throughput': 13.666666666666666, 'avg_p_latency': 70.75, 'data_quality': 879.0, 'cores': 1.0, 'completion_rate': 0.17083333333333334}",37
1,2026-05-04 17:47:19.488853,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.7692307692307693, 'avg_p_latency': 611.2307692307693, 'data_quality': 285.0, 'cores': 8.0, 'model_size': 4.0, 'completion_rate': 0.15384615384615385}",37
1,2026-05-04 17:47:19.495109,elastic-workbench-pc-visualizer-1,0.71875,"{'throughput': 50.0, 'avg_p_latency': 3.0, 'data_quality': 10.0, 'cores': 5.0, 'model_size': 1.0, 'completion_rate': 1.0}",37
1,2026-05-04 17:47:29.480484,elastic-workbench-qr-detector-1,1.0,"{'throughput': 80.0, 'avg_p_latency': 47.5, 'data_quality': 820.0, 'cores': 8.0, 'completion_rate': 1.0}",36
1,2026-05-04 17:47:29.486307,elastic-workbench-cv-analyzer-1,0.36,"{'throughput': 1.0, 'avg_p_latency': 835.3076923076923, 'data_quality': 291.0, 'cores': 6.0, 'model_size': 3.0, 'completion_rate': 0.2}",36
